timestamp,forecast_wind_speed,forecast_wind_direction,temperature_2m,relative_humidity_2m,pressure_msl,cloudcover,precipitation,weathercode
2025-07-02 00:00:00,8.3,18,21.2,73,1014.9,25,0.0,1
2025-07-02 01:00:00,7.3,20,20.5,75,1014.8,38,0.0,1
2025-07-02 02:00:00,6.6,22,20.0,76,1014.6,54,0.0,2
2025-07-02 03:00:00,6.1,28,19.6,77,1014.6,66,0.0,2
2025-07-02 04:00:00,5.7,35,19.1,79,1014.9,71,0.0,2
2025-07-02 05:00:00,5.6,45,18.6,80,1015.3,73,0.0,2
2025-07-02 06:00:00,4.8,48,18.3,81,1015.7,73,0.0,2
2025-07-02 07:00:00,3.4,32,18.4,81,1016.0,72,0.6,53
2025-07-02 08:00:00,2.6,344,18.7,81,1016.2,70,0.6,53
2025-07-02 09:00:00,4.3,312,19.0,80,1016.5,70,0.6,53
2025-07-02 10:00:00,6.8,302,19.1,79,1016.9,75,0.6,53
2025-07-02 11:00:00,9.8,298,19.1,78,1017.2,82,0.6,53
2025-07-02 12:00:00,12.2,298,19.6,73,1017.5,82,0.6,53
2025-07-02 13:00:00,13.4,301,20.8,63,1017.6,71,0.0,2
2025-07-02 14:00:00,14.1,302,22.2,49,1017.5,53,0.0,2
2025-07-02 15:00:00,15.0,305,23.2,39,1017.6,36,0.0,1
2025-07-02 16:00:00,17.0,306,23.4,34,1017.9,22,0.0,1
2025-07-02 17:00:00,19.3,307,23.0,31,1018.3,9,0.0,0
2025-07-02 18:00:00,20.0,309,22.4,31,1019.0,0,0.0,0
2025-07-02 19:00:00,17.3,318,21.1,33,1020.2,0,0.0,0
2025-07-02 20:00:00,13.7,337,19.6,38,1021.6,0,0.0,0
2025-07-02 21:00:00,12.3,353,18.2,42,1022.8,0,0.0,0
2025-07-02 22:00:00,11.6,355,17.1,45,1023.5,0,0.0,0
2025-07-02 23:00:00,10.4,346,16.2,47,1024.0,0,0.0,0
2025-07-03 00:00:00,9.8,336,15.4,50,1024.4,0,0.0,0
2025-07-03 01:00:00,8.7,330,14.6,54,1024.9,0,0.0,0
2025-07-03 02:00:00,7.8,326,14.0,59,1025.4,0,0.0,0
2025-07-03 03:00:00,6.6,319,13.6,63,1025.9,0,0.0,0
2025-07-03 04:00:00,5.6,310,13.6,65,1026.5,0,0.0,0
2025-07-03 05:00:00,4.5,299,13.7,66,1027.1,0,0.0,0
2025-07-03 06:00:00,3.9,292,14.3,65,1027.6,0,0.0,0
2025-07-03 07:00:00,3.2,297,15.5,61,1027.9,0,0.0,0
2025-07-03 08:00:00,2.8,310,17.1,54,1028.0,0,0.0,0
2025-07-03 09:00:00,2.8,310,18.8,48,1028.1,0,0.0,0
2025-07-03 10:00:00,3.6,276,20.2,42,1028.2,5,0.0,0
2025-07-03 11:00:00,6.4,254,21.6,36,1028.2,13,0.0,0
2025-07-03 12:00:00,8.4,250,22.7,31,1028.1,20,0.0,1
2025-07-03 13:00:00,9.3,254,23.3,28,1027.9,28,0.0,1
2025-07-03 14:00:00,9.8,264,23.5,27,1027.5,36,0.0,1
2025-07-03 15:00:00,10.1,272,23.6,26,1027.2,38,0.0,1
2025-07-03 16:00:00,10.2,278,23.6,26,1026.8,31,0.0,1
2025-07-03 17:00:00,10.3,282,23.5,27,1026.5,19,0.0,0
2025-07-03 18:00:00,10.5,286,23.2,28,1026.4,9,0.0,0
2025-07-03 19:00:00,10.5,286,22.5,30,1026.7,3,0.0,0
2025-07-03 20:00:00,10.7,284,21.5,32,1027.3,0,0.0,0
2025-07-03 21:00:00,10.3,282,20.6,35,1027.8,0,0.0,0
2025-07-03 22:00:00,9.6,283,19.6,39,1028.2,7,0.0,0
2025-07-03 23:00:00,8.5,282,18.5,44,1028.5,18,0.0,0
2025-07-04 00:00:00,7.4,284,17.6,48,1028.7,25,0.0,1
2025-07-04 01:00:00,6.7,286,16.6,52,1028.6,24,0.0,1
2025-07-04 02:00:00,5.9,284,15.8,57,1028.4,19,0.0,0
2025-07-04 03:00:00,5.2,282,15.2,60,1028.2,19,0.0,0
2025-07-04 04:00:00,4.7,270,14.9,62,1028.3,28,0.0,1
2025-07-04 05:00:00,4.8,257,15.1,64,1028.5,41,0.0,1
2025-07-04 06:00:00,5.2,245,15.6,63,1028.6,50,0.0,2
2025-07-04 07:00:00,5.5,238,17.0,58,1028.5,50,0.0,2
2025-07-04 08:00:00,6.0,237,19.0,51,1028.3,47,0.0,1
2025-07-04 09:00:00,6.8,238,20.6,45,1028.0,48,0.0,1
2025-07-04 10:00:00,8.1,238,21.9,41,1027.6,61,0.0,2
2025-07-04 11:00:00,10.0,240,22.8,39,1027.1,78,0.0,2
2025-07-04 12:00:00,11.4,242,23.7,36,1026.5,87,0.0,3
2025-07-04 13:00:00,13.2,244,24.6,33,1025.9,79,0.0,2
2025-07-04 14:00:00,14.8,247,25.4,30,1025.2,64,0.0,2
2025-07-04 15:00:00,16.1,250,25.9,28,1024.5,55,0.0,2
2025-07-04 16:00:00,16.6,257,25.8,27,1023.8,61,0.0,2
2025-07-04 17:00:00,16.9,268,25.3,27,1023.2,73,0.0,2
2025-07-04 18:00:00,17.3,272,24.6,29,1022.7,83,0.0,3
2025-07-04 19:00:00,16.6,271,23.6,32,1022.6,87,0.0,3
2025-07-04 20:00:00,15.5,266,22.5,37,1022.6,89,0.0,3
2025-07-04 21:00:00,14.6,260,21.3,42,1022.6,90,0.0,3
2025-07-04 22:00:00,14.5,256,20.2,49,1022.3,91,0.0,3
2025-07-04 23:00:00,14.5,251,19.2,56,1022.0,90,0.0,3
